audio_path,n_diarizers_fn,pct_diarizers,diarizers,#_adults,#_children,#_people_interacting,has_interaction,n_children_cat,n_adults_cat,Context,Location,child_id,timepoint_norm,task
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-M5O1K4W9O1/ses-02/beh/sub-M5O1K4W9O1 2_ses-02_task-unknown_run-01_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,0.0,False,1,0,general social communication interaction,inside public,M5O1K4W9O1,36_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S9B3J7I4R1/ses-02/beh/sub-S9B3J7I4R1_ses-02_task-other_run-01_audio.wav,10,0.909,"BabAR, Pyannote, Sortformer, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,0.0,False,1,0,other,outside public,S9B3J7I4R1,36_month,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-W7P7J6H1H6/ses-01/beh/sub-W7P7J6H1H6_ses-01_task-toyplay_run-02_audio.wav,10,0.909,"BabAR, Pyannote, Sortformer, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,0.0,False,1,0,toy play,inside public,W7P7J6H1H6,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-W3P0N4W0X9/ses-01/beh/sub-W3P0N4W0X9_ses-01_task-bookshare_run-02_audio.wav,8,0.727,"BabAR, Pyannote, Sortformer, TalkNet-ASD, USC-SAIL, VTC, VTC-KCHI, Whisper-MIL",2.0,1.0,2.0,True,1,2+,book share,inside private,W3P0N4W0X9,14_month,bookshare
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-01/beh/sub-B1S3L8Q7Y6_ses-01_task-motorplay_run-02_audio.wav,8,0.727,"BabAR, Pyannote, Sortformer, TalkNet-ASD, VBx, VTC, VTC-KCHI, Whisper-MIL",0.0,1.0,1.0,True,1,0,motor play,inside private,B1S3L8Q7Y6,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-L6F2P7K8P1/ses-02/beh/sub-L6F2P7K8P1_ses-02_task-motorplay_run-01_audio.wav,8,0.727,"BabAR, EEND-EDA, Pyannote, Sortformer, TalkNet-ASD, VBx, VTC, VTC-KCHI",0.0,1.0,1.0,True,1,0,motor play,inside private,L6F2P7K8P1,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B4Q3G8H2N3/ses-01/beh/sub-B4Q3G8H2N3 2_ses-01_task-unknown_run-16_audio.wav,7,0.636,"BabAR, EEND-EDA, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI",0.0,1.0,1.0,True,1,0,daily routine,inside private,B4Q3G8H2N3,14_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-J4J6X7C4D9/ses-02/beh/sub-J4J6X7C4D9_ses-02_task-generalsocialcommunicationinteraction_run-05_audio.wav,7,0.636,"BabAR, Pyannote, Sortformer, VBx, VTC, VTC-KCHI, Whisper-MIL",1.0,1.0,1.0,True,1,1,general social communication interaction,inside private,J4J6X7C4D9,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-M5O1K4W9O1/ses-02/beh/sub-M5O1K4W9O1 2_ses-02_task-unknown_run-03_audio.wav,7,0.636,"BabAR, EEND-EDA, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI",1.0,1.0,1.0,True,1,1,general social communication interaction,inside private,M5O1K4W9O1,36_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B4Q3G8H2N3/ses-01/beh/sub-B4Q3G8H2N3 2_ses-01_task-unknown_run-04_audio.wav,7,0.636,"BabAR, EEND-EDA, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI",1.0,2.0,2.0,True,2+,1,toy play,inside private,B4Q3G8H2N3,14_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-J3J0V4T8C3/ses-02/beh/sub-J3J0V4T8C3_ses-02_task-socialroutine_run-01_audio.wav,7,0.636,"BabAR, TalkNet-ASD, USC-SAIL, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,1.0,True,1,0,social routine,inside private,J3J0V4T8C3,36_month,socialroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-H3B5L5F8T1/ses-02/beh/sub-H3B5L5F8T1_ses-02_task-toyplay_run-02_audio.wav,6,0.545,"BabAR, Pyannote, Sortformer, TalkNet-ASD, VTC-KCHI, WavLM-MIL",1.0,1.0,1.0,True,1,1,toy play,outside public,H3B5L5F8T1,36_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B4Q3G8H2N3/ses-01/beh/sub-B4Q3G8H2N3 2_ses-01_task-unknown_run-15_audio.wav,6,0.545,"BabAR, TalkNet-ASD, USC-SAIL, VTC, VTC-KCHI, Whisper-MIL",0.0,1.0,0.0,False,1,0,toy play,inside private,B4Q3G8H2N3,14_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B4Q3G8H2N3/ses-01/beh/sub-B4Q3G8H2N3 2_ses-01_task-unknown_run-09_audio.wav,6,0.545,"BabAR, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI",2.0,1.0,2.0,True,1,2+,social routine,inside private,B4Q3G8H2N3,14_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-toyplay_run-09_audio.wav,6,0.545,"BabAR, EEND-EDA, TalkNet-ASD, VTC, VTC-KCHI, Whisper-MIL",0.0,1.0,1.0,True,1,0,toy play,inside private,C0O6X3N5Y7,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-H7C3T0K5E5/ses-02/beh/sub-H7C3T0K5E5 2_ses-02_task-unknown_run-01_audio.wav,6,0.545,"BabAR, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,H7C3T0K5E5,36_month,unknown
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Z2E7T3I3H2/ses-02/beh/sub-Z2E7T3I3H2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio.wav,5,0.455,"BabAR, Pyannote, TalkNet-ASD, VTC-KCHI, Whisper-MIL",0.0,1.0,1.0,True,1,0,general social communication interaction,outside public,Z2E7T3I3H2,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Q9W9P7Z3J7/ses-01/beh/sub-Q9W9P7Z3J7_ses-01_task-socialroutine_run-02_audio.wav,5,0.455,"BabAR, Sortformer, TalkNet-ASD, VTC, VTC-KCHI",1.0,1.0,1.0,True,1,1,social routine,inside private,Q9W9P7Z3J7,14_month,socialroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6Y4Y7X2G1/ses-01/beh/sub-A6Y4Y7X2G1_ses-01_task-toyplay_run-06_audio.wav,5,0.455,"EEND-EDA, Pyannote, Sortformer, TalkNet-ASD, VBx",1.0,1.0,1.0,True,1,1,toy play,inside private,A6Y4Y7X2G1,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S4C2W1M7Q0/ses-02/beh/sub-S4C2W1M7Q0_ses-02_task-other_run-02_audio.wav,5,0.455,"BabAR, Pyannote, TalkNet-ASD, VBx, VTC-KCHI",0.0,1.0,0.0,False,1,0,other,unknown,S4C2W1M7Q0,36_month,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Q9W9P7Z3J7/ses-01/beh/sub-Q9W9P7Z3J7_ses-01_task-motorplay_run-07_audio.wav,5,0.455,"BabAR, Sortformer, TalkNet-ASD, VTC-KCHI, Whisper-MIL",1.0,1.0,1.0,True,1,1,motor play,inside public,Q9W9P7Z3J7,14_month,motorplay
