audio_path,child_id,timepoint,label,prob,pred_label,#_adults,#_children,#_people_background,#_people_interacting,interaction,has_interaction,outcome,task,session,timepoint_norm,multi_child,experiment,prob_bin,confidence
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-toyplay_run-03_audio.wav,F3N4H0K1Z1,36_month,0,0.9999817609786988,1,0,1,0,1,yes,True,FP,toyplay,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9999817609786988
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-motorplay_run-05_audio.wav,F3N4H0K1Z1,36_month,0,0.9999719858169556,1,0,2,0,1,yes,True,FP,motorplay,02,36_month,True,wavlm_attn_lw,"(0.8, 1.0]",0.9999719858169556
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C1G1X2G4C6/ses-02/beh/sub-C1G1X2G4C6_ses-02_task-toyplay_run-04_audio.wav,C1G1X2G4C6,36_month,0,0.9998915195465088,1,0,1,0,0,no,False,FP,toyplay,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9998915195465088
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B8I6G9P2G8/ses-02/beh/sub-B8I6G9P2G8_ses-02_task-motorplay_run-03_audio.wav,B8I6G9P2G8,36_month,0,0.9998890161514282,1,1,1,0,2,yes,True,FP,motorplay,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9998890161514282
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G3D3S2N7W8/ses-01/beh/sub-G3D3S2N7W8_ses-01_task-motorplay_run-01_audio.wav,G3D3S2N7W8,14_month,0,0.9998451471328736,1,0,1,2,1,yes,True,FP,motorplay,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9998451471328736
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8O8B2C4X2/ses-01/beh/sub-D8O8B2C4X2_ses-01_task-generalsocialcommunicationinteraction_run-06_audio.wav,D8O8B2C4X2,14_month,0,0.9997872710227966,1,0,1,1,2,yes,True,FP,generalsocialcommunicationinteraction,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9997872710227966
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8G5K7I0D6/ses-01/beh/sub-D8G5K7I0D6_ses-01_task-toyplay_run-04_audio.wav,D8G5K7I0D6,14_month,0,0.9997760653495787,1,0,1,0,1,yes,True,FP,toyplay,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9997760653495787
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8G5K7I0D6/ses-02/beh/sub-D8G5K7I0D6_ses-02_task-motorplay_run-05_audio.wav,D8G5K7I0D6,36_month,0,0.9995543360710144,1,1,1,0,2,yes,True,FP,motorplay,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9995543360710144
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-L4M8P2T7S0/ses-02/beh/sub-L4M8P2T7S0_ses-02_task-other_run-07_audio.wav,L4M8P2T7S0,36_month,0,0.9995543360710144,1,0,1,0,1,yes,True,FP,other,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9995543360710144
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-motorplay_run-02_audio.wav,N3L7A1I2B9,14_month,0,0.9995027780532836,1,0,1,0,1,yes,True,FP,motorplay,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9995027780532836
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-other_run-02_audio.wav,F3N4H0K1Z1,36_month,0,0.9994813799858092,1,0,1,0,0,no,False,FP,other,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9994813799858092
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-02/beh/sub-N3L7A1I2B9_ses-02_task-dailyroutine_run-05_audio.wav,N3L7A1I2B9,36_month,0,0.9992353916168212,1,0,1,0,1,yes,True,FP,dailyroutine,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9992353916168212
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Y4W4H9A8X5/ses-02/beh/sub-Y4W4H9A8X5_ses-02_task-toyplay_run-01_audio.wav,Y4W4H9A8X5,36_month,0,0.999172866344452,1,1,2,0,1,yes,True,FP,toyplay,02,36_month,True,wavlm_attn_lw,"(0.8, 1.0]",0.999172866344452
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-other_run-10_audio.wav,N3L7A1I2B9,14_month,1,0.0008598811691626,0,0,1,0,0,no,False,FN,other,01,14_month,False,wavlm_attn_lw,"(-0.001, 0.2]",0.9991401188308374
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Z3H6O7C3O9/ses-02/beh/sub-Z3H6O7C3O9_ses-02_task-generalsocialcommunicationinteraction_run-01_audio.wav,Z3H6O7C3O9,36_month,0,0.9990745782852172,1,0,1,1,1,yes,True,FP,generalsocialcommunicationinteraction,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9990745782852172
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-52_audio.wav,N3L7A1I2B9,14_month,0,0.998993456363678,1,0,1,0,1,yes,True,FP,generalsocialcommunicationinteraction,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.998993456363678
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8G5K7I0D6/ses-01/beh/sub-D8G5K7I0D6_ses-01_task-toyplay_run-01_audio.wav,D8G5K7I0D6,14_month,0,0.9989414811134338,1,0,1,0,1,yes,True,FP,toyplay,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9989414811134338
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-L7Z6Q2U6Y6/ses-01/beh/sub-L7Z6Q2U6Y6_ses-01_task-other_run-01_audio.wav,L7Z6Q2U6Y6,14_month,0,0.9988462924957277,1,0,1,0,1,yes,True,FP,other,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9988462924957277
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Z3H6O7C3O9/ses-02/beh/sub-Z3H6O7C3O9_ses-02_task-other_run-01_audio.wav,Z3H6O7C3O9,36_month,0,0.9987961053848268,1,0,2,0,0,no,False,FP,other,02,36_month,True,wavlm_attn_lw,"(0.8, 1.0]",0.9987961053848268
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-toyplay_run-09_audio.wav,F3N4H0K1Z1,36_month,0,0.9986701011657716,1,1,1,0,1,yes,True,FP,toyplay,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9986701011657716
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8G5K7I0D6/ses-01/beh/sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,D8G5K7I0D6,14_month,0,0.9985669255256652,1,0,1,0,1,yes,True,FP,generalsocialcommunicationinteraction,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9985669255256652
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B8I6G9P2G8/ses-02/beh/sub-B8I6G9P2G8_ses-02_task-motorplay_run-02_audio.wav,B8I6G9P2G8,36_month,0,0.998376965522766,1,1,1,0,1,yes,True,FP,motorplay,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.998376965522766
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B8I6G9P2G8/ses-01/beh/sub-B8I6G9P2G8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio.wav,B8I6G9P2G8,14_month,0,0.9983235001564026,1,0,1,1,1,yes,True,FP,generalsocialcommunicationinteraction,01,14_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9983235001564026
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-T2H0J0N2Z5/ses-02/beh/sub-T2H0J0N2Z5_ses-02_task-toyplay_run-04_audio.wav,T2H0J0N2Z5,36_month,0,0.9978177547454834,1,1,1,0,1,yes,True,FP,toyplay,02,36_month,False,wavlm_attn_lw,"(0.8, 1.0]",0.9978177547454834
